type,transactionHash,blockNumber,amount,amount0,amount1,user
increaseLiquidity,0x097c70d0dfa95b8dd2c2cc1b61fde45367110df5cb18ce2b9509257e51b35458,38913515,16062378341951,257999999,999999996123985566,0x71b94911fd1ce621fc40970450004c544e5287a8
increaseLiquidity,0x7c822ff7cd894c4018e409c6b66265039a0d6209152b3cc05e21d5171dcc996d,39046015,116781584449615,1948276924,6999999999262229861,0x71b94911fd1ce621fc40970450004c544e5287a8
increaseLiquidity,0x7f7bd7b8d1719b333780c8a8447d0ce49104de1aa0bd7cd5212f58e5798f72c0,39510365,88864292662772,198295950,999999997615431816,0x71b94911fd1ce621fc40970450004c544e5287a8
increaseLiquidity,0x82342b02f3533a529280cb931ec5ef0d8f5fd656115a0ff79fd329bcdb1ace4a,39510610,4305828837622973,9137790852,50229999997936233549,0x71b94911fd1ce621fc40970450004c544e5287a8
increaseLiquidity,0x7a92bc13267f327f68196a281e78c0535e2c8174aa400e01cae726fc488c5609,39551904,11483429811622,618374,4748780859875223,0x51cc12e6a4fccbcd6eb6f1c5905263edc5578c5f
increaseLiquidity,0x016214a14fdf14588da40bd0c5b8dd294e4e092ff0c80639aa977d736dd4695b,39559467,1133977182507431,500000000,861422076871995786,0x091e3b88f487982641d11868b798fbc83a78dbfa
increaseLiquidity,0xaf9170ddb702f4c906f5ea70180a4257b9d7c7c932dcfcff0a6ff394acc6feff,39559496,1389188054192047,612529104,1055292185122991117,0x091e3b88f487982641d11868b798fbc83a78dbfa
increaseLiquidity,0x79a9d581f08f49e839b5caa9f39fb2190f8a5923c984e9b3270d582e1067fa9f,39559536,3811510712600958,1943290856,1896042693079008435,0x091e3b88f487982641d11868b798fbc83a78dbfa
increaseLiquidity,0x837c3707136de0a02732ec146cd01dd9a0ae9fad4e2dce567f3f52b5ca96e1b1,39562693,56881543515,20000,62864656156781,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0xcec2c79336804d43befa84178e91088ea3211a12e6058b8fb651eab136f4e46e,39562930,1840117932750,647000,2033671626715794,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0x73ecdb4f9c1dc7a7f6876475cd4cd02f05894e0cb299854f7f65b681c0a3b6a6,39575359,16153379886593,12189250,50848482858102021,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
increaseLiquidity,0x0bffd7b1f26d57b708067932e1df014a5b22231ba81d37aa21738796a06d0750,39578570,179006658429196,247077724,1162383262560072380,0x6312a493bd756861aa819ebe9b9638a0c54004f1
increaseLiquidity,0x7d57d9efa996c4dbcad0f7e94f97a99d4bef5b5e82052597244f1cd338436f8f,39610729,2075729711723,749079,2199998977097513,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0x556878fc7547fbcb87cfcdf75bc5342d753ed5a7296eef3fcecccfbda5d6e045,39610806,1226565919493,442637,1299997660093893,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0x7bd9bd5853f69ee9bf432095511ed3f3fb55641a0d60a6c2c10c765cceba4d9e,39622754,2900644697979,1070000,3016127244052370,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0x3a8301eba2ff6c5849557909f6df22165d028879e3faa9774b2f28cdb6bcab97,39643780,157689377671605,159394924,330039252666396064,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
increaseLiquidity,0x8278767dcd9ec2be92fe3f28d7c2c631e2dc7311dc24e17dc70227cfd163450d,39650311,3868321885386,1000000,5699093147789138,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0xc71580962439638c6036848384a50d921818435f791c9fe237485f699180a9fa,39670784,75807480494671,103304525,499999997335199645,0x03354437f81ae7ae5569f63ba3b4a1325dd12e69
increaseLiquidity,0x912a06211e2f618b25da2ecd0b3ac3e77058b894b93fd7b12ec16c49ef39f246,39924011,11020330366836,2600000,17249024876934849,0x825e8cb8ec734e78283bca295a32ea44c53d359e
increaseLiquidity,0x595793fa667d063d7e0e5c4338044cb47836846b5fd9ea46f84c2bb3f9941540,39996174,3548569278268,970000,5034370175919234,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
increaseLiquidity,0x86258adaafa600342525af5202eb6a2df57b854cdcc357ef52191f6be8d6d032,40035502,147668883707266,198880506,985223650461421708,0x6312a493bd756861aa819ebe9b9638a0c54004f1
decreaseLiquidity,0x57c50f1862b71274d7c1012a7914a19b9c8d8170ba11dff382ef2ce667cb6311,39501965,16062378341951,262297923,983614334928482558,0x71b94911fd1ce621fc40970450004c544e5287a8
decreaseLiquidity,0x72307ef2aa86722a0091d15f077ed36e26a8cba8748dc68496ff783db4280535,39502188,116781584449615,1907038080,7151371862552588369,0x71b94911fd1ce621fc40970450004c544e5287a8
decreaseLiquidity,0x81301dbd05d40fd229b496eb134fca5975cb6431cb39be3aae1593314e136cca,39610764,1840117932750,0,4538804981911451,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0x0d4f4832ba9358d3ef4b17ce0d6b3d717e60816060d068f7078711e63c6a3c36,39622665,2075729711723,1306715,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0x9ec25e18be2feb42db2ff63c1721409c2d5dae006dbf6b3186765767f71231bb,39622688,1226565919493,772149,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0x0f83e0649f68e8ea164e2be4eb96fcc84b72ac43600705220e536f0ad15fe152,39634580,6334675949300436,3338645197,2739018531300272905,0x091e3b88f487982641d11868b798fbc83a78dbfa
decreaseLiquidity,0x4c030c960926e84bdf0a822c11cc5a27a2a6da7d7f00ca15d51b9184d964af1f,39650281,2900644697979,0,7154683062224574,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0xc7742500f8c689de7e94b6c0ccea410a6d4536588a33157e59544f9a6d155388,39996112,3868321885386,0,9832108286296191,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0x0062e00bbf0935679e38850c3c64cb4f0f8d722af2ffb82e5964a2d4d67d6499,40129057,1774284639134,553648,2228225374921702,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0x3f4b361bfe8fc0b183c5f29c981b7408eb83629468bc154186696f7511bf1fb9,40177517,887142319567,31749,2161861861371915,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
decreaseLiquidity,0x0cd63d8332f1230dec32271a90fe92d17d76ebac11a3e7ecb1cf656ae4a726cc,40209839,11020330366836,0,28010358167667783,0x825e8cb8ec734e78283bca295a32ea44c53d359e
collect,0x230850d4aa91d727e8c373f601167035f7c9c5ce0a8a413e0f8a89b00a78d8e2,39561907,0,547098,90229915066312,0x091e3b88f487982641d11868b798fbc83a78dbfa
collect,0xa084777d6b329f6e13ac4775a4367970d3e23377ea2d717e978e72b19b77b0db,39562715,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xff77a15d5229641924327c03f08d50aecfbf5aabeafaea16e30f8b408652592e,39562953,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x9d463bc1747e94cbfc0415fc27da6d696221bf764bf4064f70ba19da87bcd848,39575383,0,0,0,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0x56c99c771f841ca7d6b8893e8f3c3291fe48bdfb42203ae4d40ca15f24690d83,39610744,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xb7155e8b413db82e3b94d716975086e334d0726ee004308a785391f865b0d756,39610758,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x294c530ea385e90d076f8b26b093af7ae54e2fa6b4449e3b9a91c3db9c00d45b,39610825,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x53b045bf6e87ed207101c617d6fcad04655e78c7058e5a8a2c6f96b61cf7645c,39611537,0,0,0,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
collect,0xb17d2152569d98bd0f199c9a1c7b7503b3a3f8b1205b053efbe9a6bf53740e31,39622649,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x237d5ff7403d875fb3ee1e13a29432a386bd738d8d2ad7f0c2e67fb9ffebeaa4,39622657,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0xf9342d8615ce8625eb7c5c0f5e28a9ed44b5133f691d8f2d57c92264f855d39f,39622790,0,0,0,0x2ae57ecc52240ff0df36c979799bb2bcf957fb15
collect,0x96d630a3d1edbdf17e47886e6aeb6829153ef199d826b5075efdf3555e8e75d8,39634572,0,0,0,0x091e3b88f487982641d11868b798fbc83a78dbfa
collect,0x01a8dac9eee6bb22d50d21e335adef4ca69de487f94a8d6a96c4187d82a8b4a2,39642869,0,21948,28321998092460,0xa38c5ab9bc4a458be59fec93f3eca36afd4f1109
